"r"	"MSY"	"f"	"b"
"40"	0.118778892557602	2143.17656509614	0.699464051210785	1.23237693360682
"67"	0.0313556037016679	1332.08503021006	1.4099987345757	0.983594838464845
"101"	0.013382711346494	914.687810074888	1.95812458991045	1.03146310754348
"148"	0.0387718782731099	1156.42610774538	2.76306720697765	0.578172691936283
"150"	0.0131939321797108	974.577666482031	1.66649969100286	1.13748379809757
"223"	0.0168202383408789	1342.75171801224	1.17046308206843	1.17547521112316
"227"	0.0180929611448664	874.074314690744	2.02308959843607	1.04472848516944
"247"	0.0282275774393929	1464.03965725035	1.26079616758373	1.00085045477797
"282"	0.0316122942161746	874.92121574623	44.4680738848005	0.0474842568402129
"345"	0.0205657973064808	975.653294413956	1.7558013883976	1.0784400510399
"464"	0.00792361270054243	494.459785025916	5.37211863617578	0.695489121090673
"529"	0.019121577651822	959.279497106776	1.85533433714319	1.03800529088932
"576"	0.0597784367826534	1838.09920092003	0.900488912224693	1.1161423726893
"732"	0.134575731632067	2136.5666315002	0.765088015592818	1.13015775946331
"784"	0.0102492306497879	557.968996047902	3.47208933238949	0.953599365725139
"798"	0.0723320670006797	1825.97192856711	0.941329039339302	1.0748091587068
"809"	0.00843131455534603	526.064510622568	6.86051163977401	0.511883819481049
"845"	0.0101559558621375	627.279843460425	4.32887481309228	0.680347123058633
"851"	0.0512573751696618	1449.55397511807	2.76134636527251	0.461542433300325
"889"	0.0199074174568523	1020.22318310355	2.45951178810408	0.736245774535914
"956"	0.0335710376151837	1127.44048380703	7.49196755356711	0.218714410566866
"957"	0.025599135258235	1040.76612924294	2.73447653666091	0.649141777568138
"1075"	0.0152947972115362	604.494575418155	7.05397235881877	0.433252173610952
"1089"	0.0305181563826045	1165.04938310764	3.1830453551263	0.498172500606136
"1106"	0.00948100681300275	479.091811933504	7.54495904434929	0.511082813117151
"1152"	0.0186256583849899	1116.21918972384	1.42584936255123	1.1607636017991
"1162"	0.0383911246585194	1332.74936981279	2.26756951289951	0.611304814986162
"1199"	0.034287351576495	908.418415464489	10.8181387947443	0.187987266550615
"1226"	0.0211384121346055	1249.2244289062	1.23832213598033	1.19424328224678
"1259"	0.035625859517022	1448.60357840663	1.07428152021927	1.18713265911122
"1291"	0.00895303878933191	645.705948118997	2.71421627165654	1.05411422708778
"1318"	0.0259657186840195	1191.50231512803	2.12873450939484	0.72836743518399
"1423"	0.0412353574804729	1329.74788381743	2.04380772502694	0.679763071425299
"1448"	0.0111289223050699	593.097679936545	2.99581713935285	1.03974151634978
"1480"	0.022160989192198	1262.27526690763	1.55169713297982	0.943204537421273
"1517"	0.103820824692375	1944.16911550747	0.944078667105106	1.00652528141913
"1590"	0.0080064796161605	579.741069603436	4.83715689105351	0.658783435237746
"1616"	0.0701438195124501	1521.65269964655	4.83081185107539	0.251322428636913
"1734"	0.013622858247254	926.658331519728	1.60977708493369	1.23845872176153
"1792"	0.0566348082205513	1468.71823743814	2.87053119738047	0.438193723762716
"1826"	0.0437150832993211	1472.73225486889	1.25768642758782	0.997403157965548
"1843"	0.0788027048693039	1929.88397057009	0.854069902206151	1.12083657770207
"1869"	0.065341744152247	1635.82220342585	1.10283435246443	1.02404850400168
"1878"	0.0653181948809652	1784.61814892377	0.891444775279901	1.16125383836879
"1936"	0.0213273306400515	1350.21240614603	1.47803015267851	0.925724000825376
"2006"	0.0174839886068366	670.21042672237	3.53965986117938	0.778743080203422
"2081"	0.114293064963422	1953.86357664423	1.10227774889637	0.857791294002303
"2102"	0.0266502029233379	1433.6931825418	1.22490771126608	1.05197961181645
"2110"	0.0133414036565227	633.314707010118	2.97608785252611	0.980170417810943
"2130"	0.0772763960715383	1918.41941470337	0.822753127071986	1.17045254211935
"2155"	0.0616437344189035	1599.41858023258	1.33294020116204	0.866550961559844
"2160"	0.0531432411633432	1434.01204466779	1.65055724313432	0.780519076259409
"2230"	0.083320658323355	1861.92312937062	1.0135322975474	0.978965917553488
"2320"	0.0473056034540059	1296.79585306037	2.47126284209868	0.576469533255796
"2400"	0.0715559452894377	1630.21172520717	1.54577357833006	0.733123295256269
"2424"	0.0259869076689938	1505.0190139401	1.11398055720157	1.101913018539
"2425"	0.0261416551825823	1312.50391468998	1.20686478037057	1.1662930583374
"2461"	0.00882971905928571	638.236821278397	4.63676448455682	0.62426648336226
"2587"	0.0668996800604509	1621.65685780999	1.3230275111099	0.861071219763322
"2600"	0.0767228232719936	1604.20708625021	1.76632131181341	0.65198375115831
"2606"	0.191465229830355	2418.62727148954	0.890075479133883	0.858165655070724
"2632"	0.0305786359315971	1381.09520706463	1.59291012083666	0.839753885535885
"2695"	0.00795539142389316	360.370583350676	20.5294566046545	0.249712409256004
"2733"	0.0133352955750888	440.729624299041	30.7395966598696	0.136362986363289
"2775"	0.0571080751006957	1777.95652063722	0.966026752794182	1.07561443451926
"2826"	0.0170799847977469	1148.38071336501	1.9656738976788	0.818407406410261
"2878"	0.0083215983241098	543.5702614156	6.31813808295142	0.537925472465335
"2883"	0.0282983313995646	1196.79575001343	1.44693031647742	1.06683991780638
"2889"	0.114330944507383	2091.53888533533	0.716169245141714	1.23334705611653
"2904"	0.0199126191454707	1051.89322569706	2.05271196625678	0.855593032964367
"2908"	0.0210867868142668	1188.25656988242	2.08157860617819	0.746902429068262
"2978"	0.061301867182483	1744.96668056412	0.858935986397638	1.23259094943819
"2980"	0.0168360252730781	1122.33712171749	1.37646023362311	1.19585883137486
"3017"	0.043766706372262	1257.06255954446	7.17213237884605	0.204909325290165
"3022"	0.0248147389740916	1103.74789750207	1.63115321470103	1.02612971931731
"3041"	0.025368349806522	1357.75597537849	1.189022472504	1.14434012463857
"3045"	0.0811420869198628	1751.37037419073	1.08968626351451	0.96802692367147
"3116"	0.0305446500907419	1434.14376937703	1.48739572636235	0.866059424254538
"3125"	0.0182478545664344	982.045167177639	2.09063351611783	0.899823933753425
"3147"	0.119150788658881	1932.5769615318	1.81606434133935	0.526379397568428
"3161"	0.0222194172127638	1012.59038188744	1.7905631222048	1.01892795633756
"3172"	0.0175358599307947	832.932345492545	2.00219494199207	1.10777312384483
"3178"	0.0168606669525616	1188.80719120932	1.79901382061307	0.863815491774319
"3185"	0.121711812709691	2102.60330037273	0.779439462246563	1.12726800333946
"3268"	0.0484585275087738	1346.81842532371	1.62685155690159	0.843159883733251
"3303"	0.0307365199481137	1352.1005440787	1.76723328210338	0.773150502042286
"3327"	0.0150828468549298	749.508522332743	4.49950686369571	0.547804275755318
"3351"	0.032604560101172	929.948529579201	6.33823442272181	0.313429378794265
"3361"	0.0152565081225475	1081.56423449251	1.78235354611381	0.958342480926537
"3413"	0.0335264542564983	1373.28530296843	1.47208171283904	0.91384853904003
"3431"	0.0162654917081818	955.46614532049	1.57578496145597	1.22702851885172
"3501"	0.018975897351047	936.750557943103	1.80151862940936	1.09472287685082
"3607"	0.0145843231998151	742.960758187724	3.07645772521319	0.808258134864954
"3743"	0.0349886911263457	1205.4369111389	1.50515980448975	1.01821575853036
"3752"	0.0170460713922512	663.789896965128	5.47428576279077	0.508403825124559
"3767"	0.0175781571672997	1050.53268056638	1.57546206780395	1.11621895534667
"3785"	0.0443537609040504	1204.56682943836	3.34608852523377	0.458351424511192
"3841"	0.0271420512883924	1321.56697429384	1.61764344359135	0.864161537650907
"3852"	0.0474579415842891	1725.09241647993	0.931119935451074	1.15013526719282
"3882"	0.02322356059507	947.937973034441	4.09064619037487	0.476425581735725
"3895"	0.0470382588909706	1249.04098538986	3.03288476607899	0.48767928964645
"3916"	0.0141017956577707	761.749267768297	2.63635077847411	0.919923411817562
"3960"	0.029437571913586	1562.96394894625	1.09399282719545	1.08044702105808
"3998"	0.0105272249394329	684.748457068702	2.89619835986129	0.93155295141573
"4020"	0.0256332827388542	991.162678757895	2.01058845461886	0.927040668300414
"4346"	0.0097880485461792	464.238481221256	27.1729386762137	0.146449929287098
"4362"	0.0499382579501253	1190.94789112536	18.2029885601767	0.0852180232379449
"4389"	0.021514689970063	1557.98987213735	1.00983413209064	1.17422746957407
"4429"	0.0334764755872311	1167.72603282625	4.82274624628794	0.32804357619927
"4431"	0.0501976131869014	1621.47550715048	0.990070967488836	1.15077440309976
"4435"	0.0511350641754689	1572.1652506587	1.01795521770288	1.15435674811463
"4451"	0.0116949937480967	910.073905582174	2.41900538984439	0.839176693423317
"4457"	0.135256691778777	2124.89338575308	0.79793781920425	1.08958400097068
"4471"	0.134083773836028	2108.91064633623	0.839874787472794	1.04302372769449
"4550"	0.010801159737166	875.602696925103	2.27300618076954	0.928237702947433
"4624"	0.0661756720463745	1499.27365068232	1.85067284746225	0.665819254444095
"4642"	0.0514752927131485	1424.51222410736	1.44229974819926	0.899177029166582
"4658"	0.0546083135576919	1410.56486169904	2.18689431722909	0.598888611607769
"4663"	0.0733969826123212	1828.88278589416	0.930977661617046	1.08503008237482
"4729"	0.106527681002626	1818.93271504534	3.1948876726014	0.317903042183297
"4814"	0.0216794008895522	1013.99763515781	1.63904459332133	1.11157609903243
"4828"	0.118441387001658	2090.76505043162	0.722475348127735	1.22303432829156
"4865"	0.0337340434512589	1676.57317790828	0.931427803956936	1.18302848007186
