flag,eez,fishing_vessels,fishing_hours
Uruguay,Brazil,1,518.2983333
Uruguay,Falkland Islands,1,16.12611111
Uruguay,South Georgia and the South Sandwich Islands,1,3593.471111
Vanuatu,American Samoa,4,85.67402778
Vanuatu,Argentina,1,34.90625
Vanuatu,Chile,1,55.10013889
Vanuatu,Colombia,1,35.70277778
Vanuatu,Cook Islands,1,8.13875
Vanuatu,Falkland Islands,5,4792.469167
Vanuatu,Fiji,3,68.86027778
Vanuatu,French Polynesia,1,8.740416667
Vanuatu,Gilbert Islands,2,89.67916667
Vanuatu,Hawaii,1,7.476666667
Vanuatu,Japan,5,256.2956944
Vanuatu,Japan,5,245.1281944
Vanuatu,Jarvis Island,2,42.02236111
Vanuatu,Line Group,16,42550.86722
Vanuatu,Marshall Islands,2,47.30013889
Vanuatu,Micronesia,2,47.40680556
Vanuatu,Namibia,1,3809.427083
Vanuatu,Nauru,2,49.69819444
Vanuatu,Nigeria,1,1069.099861
Vanuatu,Niue,4,6255.719861
Vanuatu,Papua New Guinea,1,63.00736111
Vanuatu,Peru,1,47.20736111
Vanuatu,Phoenix Group,5,817.5729167
Vanuatu,Russia,6,584.555
Vanuatu,Samoa,10,16481.85472
Vanuatu,Solomon Islands,1,3.984027778
Vanuatu,South Africa,2,30.27027778
Vanuatu,South Korea,1,13.79236111
Vanuatu,Taiwan,1,8.513888889
Vanuatu,Tokelau,14,78016.38014
Vanuatu,Tuvalu,1,99.38333333
Venezuela,Bonaire,2,29.02194444
Venezuela,Clipperton Island,2,60.46583333
Venezuela,Colombia,3,427.8668056
Venezuela,Costa Rica,9,9580.130278
Venezuela,Ecuador,1,8.434583333
Venezuela,El Salvador,1,10.79041667
Venezuela,Galapagos,4,75.04166667
Venezuela,Nicaragua,1,3.536111111
Venezuela,Panama,8,967.3725
Venezuela,Peru,2,63.32541667
