"","Year","Policy","mean.val","sd.val","lower.val","upper.val"
"1",2014,"Fmsy",3.74177054223962,0.236599296893572,3.50517124534605,3.97836983913319
"2",2014,"Open Access",3.74177054223962,0.236599296893572,3.50517124534605,3.97836983913319
"3",2014,"BAU",3.74177054223962,0.236599296893572,3.50517124534605,3.97836983913319
"4",2015,"Fmsy",5.53469685017916,0.178921114081336,5.35577573609782,5.71361796426049
"5",2015,"Open Access",4.20361743659906,0.229105605500162,3.9745118310989,4.43272304209922
"6",2015,"BAU",3.96332749030197,0.203697683265013,3.75962980703695,4.16702517356698
"7",2016,"Fmsy",5.1736070871036,0.155323165191919,5.01828392191168,5.32893025229552
"8",2016,"Open Access",4.62036669900058,0.213916381538693,4.40645031746189,4.83428308053927
"9",2016,"BAU",4.11106694846074,0.170124238039258,3.94094271042148,4.2811911865
"10",2017,"Fmsy",4.92299759120861,0.141588875211741,4.78140871599687,5.06458646642035
"11",2017,"Open Access",4.96698089842161,0.19378069490366,4.77320020351795,5.16076159332527
"12",2017,"BAU",4.17965899469737,0.142625897257767,4.0370330974396,4.32228489195513
"13",2018,"Fmsy",4.74465299517524,0.132861346496252,4.61179164867899,4.87751434167149
"14",2018,"Open Access",5.22416351021861,0.173809591130724,5.05035391908789,5.39797310134934
"15",2018,"BAU",4.17113386764485,0.127319525214695,4.04381434243015,4.29845339285954
"16",2019,"Fmsy",4.61544282466967,0.126983369951979,4.48845945471769,4.74242619462165
"17",2019,"Open Access",5.38026898412278,0.160157880155283,5.22011110396749,5.54042686427806
"18",2019,"BAU",4.09394117478236,0.125121735070949,3.96881943971142,4.21906290985331
"19",2020,"Fmsy",4.52060166340521,0.122886351359255,4.39771531204596,4.64348801476447
"20",2020,"Open Access",5.4329541939932,0.156687354653466,5.27626683933974,5.58964154864667
"21",2020,"BAU",3.96092591559545,0.130611283672255,3.83031463192319,4.0915371992677
"22",2021,"Fmsy",4.45031365585754,0.119977578970017,4.33033607688752,4.57029123482756
"23",2021,"Open Access",5.38894730272943,0.161920336590873,5.22702696613856,5.55086763932031
"24",2021,"BAU",3.78690320328531,0.137318082840201,3.64958512044511,3.92422128612551
"25",2022,"Fmsy",4.39784612442723,0.117894006365899,4.27995211806133,4.51574013079313
"26",2022,"Open Access",5.26211406698528,0.170676072129503,5.09143799485578,5.43279013911478
"27",2022,"BAU",3.58648229098613,0.141469842069056,3.44501244891707,3.72795213305519
"28",2023,"Fmsy",4.35846802999575,0.116396239997622,4.24207178999813,4.47486426999337
"29",2023,"Open Access",5.07053566536448,0.178121142602001,4.89241452276248,5.24865680796648
"30",2023,"BAU",3.37253628794526,0.141851716831646,3.23068457111362,3.51438800477691
"31",2024,"Fmsy",4.32879194378486,0.115318780021712,4.21347316376315,4.44411072380657
"32",2024,"Open Access",4.83348442089349,0.181610965102624,4.65187345579087,5.01509538599611
"33",2024,"BAU",3.15541182398165,0.138678044778414,3.01673377920323,3.29408986876006
"34",2025,"Fmsy",4.30635695981576,0.114544132256137,4.19181282755962,4.42090109207189
"35",2025,"Open Access",4.5689910889178,0.180455111500911,4.38853597741689,4.74944620041871
"36",2025,"BAU",2.94275641880618,0.132755571258306,2.81000084754787,3.07551199006449
"37",2026,"Fmsy",4.28935504364705,0.113987799890431,4.17536724375662,4.40334284353748
"38",2026,"Open Access",4.29232420551173,0.175143760175297,4.11718044533643,4.46746796568702
"39",2026,"BAU",2.7397511292535,0.125016135509707,2.61473499374379,2.86476726476321
"40",2027,"Fmsy",4.27644621014851,0.113588718405894,4.16285749174262,4.39003492855441
"41",2027,"Open Access",4.01535838618053,0.166691548518396,3.84866683766214,4.18204993469893
"42",2027,"BAU",2.54954349605653,0.116294300343706,2.43324919571283,2.66583779640024
"43",2028,"Fmsy",4.26663064546788,0.113302730382444,4.15332791508544,4.37993337585033
"44",2028,"Open Access",3.74660907745532,0.156215319701206,3.59039375775412,3.90282439715653
"45",2028,"BAU",2.37373043615726,0.107246124864107,2.26648431129316,2.48097656102137
"46",2029,"Fmsy",4.25915844970321,0.113097949578174,4.14606050012504,4.37225639928139
"47",2029,"Open Access",3.49166033365776,0.144709714885808,3.34695061877195,3.63637004854357
"48",2029,"BAU",2.21280264499765,0.0983414111194266,2.11446123387822,2.31114405611707
"49",2030,"Fmsy",4.25346488991753,0.112951400610827,4.1405134893067,4.36641629052836
"50",2030,"Open Access",3.25375492657847,0.132957584279294,3.12079734229918,3.38671251085776
"51",2030,"BAU",2.06651112137246,0.0898886791872337,1.97662244218522,2.15639980055969
"52",2031,"Fmsy",4.24912334052808,0.112846565452408,4.13627677507567,4.36196990598049
"53",2031,"Open Access",3.03439268055753,0.121519221664705,2.91287345889283,3.15591190222224
"54",2031,"BAU",1.93414770703143,0.082070269693187,1.85207743733824,2.01621797672462
"55",2032,"Fmsy",4.24581071876139,0.112771591373602,4.13303912738779,4.35858231013499
"56",2032,"Open Access",2.83385477810792,0.110760040570991,2.72309473753693,2.94461481867891
"57",2032,"BAU",1.8147478500511,0.0749764144699349,1.73977143558116,1.88972426452103
"58",2033,"Fmsy",4.2432818852397,0.112717985824528,4.13056389941517,4.35599987106423
"59",2033,"Open Access",2.65162337978439,0.100891566342524,2.55073181344186,2.75251494612691
"60",2033,"BAU",1.70723011438712,0.0686337683782478,1.63859634600887,1.77586388276537
"61",2034,"Fmsy",4.24135055927011,0.112679669854417,4.1286708894157,4.35403022912453
"62",2034,"Open Access",2.48669635895181,0.0920122573302102,2.3946841016216,2.57870861628202
